,inf,e,s,i
2024-08-05,3.662632589136817,5.001399237472764,0.42140921674745024,-3.450000000000001
2024-08-06,3.7637960011045046,5.10310130718954,0.5468423239463344,-3.450000000000001
2024-08-07,4.100823357678528,5.126025599128541,0.7376051744779728,-3.450000000000001
2024-08-08,4.332472721046941,4.28924903636668,0.8154877310387344,-3.450000000000001
2024-08-09,4.505158993904439,3.55215196078431,0.8447004415311052,-3.450000000000001
2024-08-10,4.670062189525572,3.46979847494553,0.8936193533386708,-3.450000000000001
2024-08-11,4.806749467361051,3.4991116557734196,0.6839668741633921,-3.450000000000001
2024-08-12,4.887431633130313,3.51175816993464,0.7161091078831068,-3.8500000000000005
2024-08-13,4.911748952015265,3.4909046840958604,0.6921627874178639,-0.6699999999999999
2024-08-14,4.937702999740026,3.50705119825708,0.7516564070128916,-0.6699999999999999
2024-08-15,4.934809561129925,3.542197712418301,0.9962509660507167,-0.6699999999999999
2024-08-16,4.950554898771118,3.67734422657952,1.1011130436689833,-0.6699999999999999
2024-08-17,4.981699213206846,3.7974907407407406,1.1555420526856421,-0.6699999999999999
2024-08-18,5.00076660627771,3.680137254901962,1.5208659774023936,-0.6699999999999999
2024-08-19,5.034438875883235,3.6577837690631805,1.6381828247237038,0.14999999999999947
2024-08-20,5.086301878415592,3.652930283224401,1.6306568382917705,0.14999999999999947
2024-08-21,5.107985577994599,3.648076797385621,1.5875392076921537,0.14999999999999947
2024-08-22,5.128859804682107,3.5532233115468417,1.5095914910757033,0.14999999999999947
2024-08-23,5.1516259916721205,3.4983698257080613,1.5229187587155855,0.14999999999999947
2024-08-24,5.183362843497759,3.441516339869282,1.595826752274937,0.14999999999999947
2024-08-25,5.212323094242281,3.4419961873638316,1.604450278394861,0.14999999999999947
2024-08-26,5.23344348496647,3.433809368191721,1.6640310043143305,-0.3799999999999999
2024-08-27,5.241328213367641,3.486455882352942,1.5866805882083523,-0.3799999999999999
2024-08-28,5.232385784475432,3.534102396514161,1.5661931806992013,-0.3799999999999999
2024-08-29,5.215089276012625,3.556748910675381,1.508572347079714,-0.3799999999999999
